,Kernel Version,Subsystem,File,Callee,Caller,Caller Type
0,v5.2,fs,exec.c,commit_creds,install_exec_creds,function
1,v5.2,kernel,capability.c,commit_creds,capset,syscall
2,v5.2,kernel,fork.c,commit_creds,ksys_unshare,function
3,v5.2,kernel,groups.c,commit_creds,set_current_groups,function
4,v5.2,kernel,sys.c,commit_creds,__sys_setregid,function
5,v5.2,kernel,sys.c,commit_creds,__sys_setgid,function
6,v5.2,kernel,sys.c,commit_creds,__sys_setreuid,function
7,v5.2,kernel,sys.c,commit_creds,__sys_setuid,function
8,v5.2,kernel,sys.c,commit_creds,__sys_setresuid,function
9,v5.2,kernel,sys.c,commit_creds,__sys_setresgid,function
10,v5.2,kernel,sys.c,commit_creds,__sys_setfsuid,function
11,v5.2,kernel,sys.c,commit_creds,__sys_setfsgid,function
12,v5.2,kernel,umh.c,commit_creds,call_usermodehelper_exec_async,function
13,v5.2,kernel,user_namespace.c,commit_creds,userns_install,function
14,v5.2,security/apparmor,task.c,commit_creds,aa_replace_current_label,function
15,v5.2,security/apparmor,task.c,commit_creds,aa_set_current_hat,function
16,v5.2,security/apparmor,task.c,commit_creds,aa_restore_previous_label,function
17,v5.2,security,commoncap.c,commit_creds,cap_prctl_drop,function
18,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
19,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
20,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
21,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
22,v5.2,security/keys,keyctl.c,commit_creds,keyctl_change_reqkey_auth,function
23,v5.2,security/keys,keyctl.c,commit_creds,keyctl_set_reqkey_keyring,function
24,v5.2,security/keys,process_keys.c,commit_creds,install_thread_keyring,function
25,v5.2,security/keys,process_keys.c,commit_creds,install_process_keyring,function
26,v5.2,security/keys,process_keys.c,commit_creds,install_session_keyring,function
27,v5.2,security/keys,process_keys.c,commit_creds,join_session_keyring,function
28,v5.2,security/keys,process_keys.c,commit_creds,join_session_keyring,function
29,v5.2,security/keys,process_keys.c,commit_creds,key_change_session_keyring,function
30,v5.2,security/selinux,hooks.c,commit_creds,selinux_setprocattr,function
31,v5.2,security/smack,smack_lsm.c,commit_creds,smack_setprocattr,function
32,v5.2,arch/x86/ia32,ia32_aout.c,install_exec_creds,load_aout_binary,function
33,v5.2,fs,binfmt_aout.c,install_exec_creds,load_aout_binary,function
34,v5.2,fs,binfmt_elf.c,install_exec_creds,load_elf_binary,function
35,v5.2,fs,binfmt_elf_fdpic.c,install_exec_creds,load_elf_fdpic_binary,function
36,v5.2,fs,binfmt_flat.c,install_exec_creds,load_flat_binary,function
37,v5.2,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
38,v5.2,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
39,v5.2,kernel,fork.c,ksys_unshare,unshare,syscall
40,v5.2,kernel,groups.c,set_current_groups,setgroups,syscall
41,v5.2,kernel,uid16.c,set_current_groups,setgroups16,syscall
42,v5.2,kernel,sys.c,__sys_setregid,setregid,syscall
43,v5.2,kernel,uid16.c,__sys_setregid,setregid16,syscall
44,v5.2,kernel,sys.c,__sys_setgid,setgid,syscall
45,v5.2,kernel,uid16.c,__sys_setgid,setgid16,syscall
46,v5.2,kernel,sys.c,__sys_setreuid,setreuid,syscall
47,v5.2,kernel,uid16.c,__sys_setreuid,setreuid16,syscall
48,v5.2,kernel,sys.c,__sys_setuid,setuid,syscall
49,v5.2,kernel,uid16.c,__sys_setuid,setuid16,syscall
50,v5.2,kernel,sys.c,__sys_setresuid,setresuid,syscall
51,v5.2,kernel,uid16.c,__sys_setresuid,setresuid16,syscall
52,v5.2,kernel,sys.c,__sys_setresgid,setresgid,syscall
53,v5.2,kernel,uid16.c,__sys_setresgid,setresgid16,syscall
54,v5.2,kernel,sys.c,__sys_setfsuid,setfsuid,syscall
55,v5.2,kernel,uid16.c,__sys_setfsuid,setfsuid16,syscall
56,v5.2,kernel,sys.c,__sys_setfsgid,setfsgid,syscall
57,v5.2,kernel,uid16.c,__sys_setfsgid,setfsgid16,syscall
58,v5.2,kernel,umh.c,call_usermodehelper_exec_async,call_usermodehelper_exec_sync,function
59,v5.2,kernel,umh.c,call_usermodehelper_exec_async,call_usermodehelper_exec_work,function
60,v5.2,kernel,user_namespace.c,userns_install,userns_operations,struct
61,v5.2,security/apparmor,domain.c,aa_replace_current_label,aa_change_profile,function
62,v5.2,security/apparmor/include,cred.h,aa_replace_current_label,begin_current_label_crit_section,function
63,v5.2,security/apparmor,mount.c,aa_replace_current_label,aa_pivotroot,function
64,v5.2,security/apparmor,domain.c,aa_set_current_hat,aa_change_hat,function
65,v5.2,security/apparmor,domain.c,aa_restore_previous_label,aa_change_hat,function
66,v5.2,security,commoncap.c,cap_prctl_drop,cap_task_prctl,function
67,v5.2,include/linux,security.h,cap_task_prctl,security_task_prctl,function
68,v5.2,security,commoncap.c,cap_task_prctl,capability_hooks,struct
69,v5.2,include/linux,security.h,cap_task_prctl,security_task_prctl,function
70,v5.2,security,commoncap.c,cap_task_prctl,capability_hooks,struct
